Category,Run_ID,Sample_ID,Label,Score_Original,Score_Removed,Removed_Rationales
alt.atheism,0,0,Normal,0.7925660014152527,0.7768633365631104,"['.', '}', '}', 'several', 'that', ""'"", 'should', 'to', ""'"", '}', '.', 'said', 'that', 'hot', 'me', 'charley', 'mythical', '}', 'so', '}', 'not', '##ate', 'periodically', 'enthusiastically', 'that']"
alt.atheism,0,1,Normal,0.7767130732536316,0.7627198696136475,"['courtroom', 'to', 'california', '[CLS]', 'heard', 'states', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,2,Normal,0.7816168069839478,0.7757078409194946,"['[SEP]', '.', '.', '##ef', 'to', '.', '##vn', '""', 'you', 'moral', '##ine', '##ed', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,3,Normal,0.78382408618927,0.7741830348968506,"['verb', '[CLS]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,4,Normal,0.7910915613174438,0.7722992300987244,"['to', 'the', 'how', 'atheist', 'out', 'the', 'of', 'be', 'to', 'many', 'case', '##s', ""'"", '.', '-', 'since', 'of', 'with', 'then', 'to', 'ap', 'wonder', 'christianity', 'a', '.']"
alt.atheism,0,160,Anomaly,0.7971449494361877,0.7803710699081421,"[',', 'its', 'mon', '-', 'que', '-', 'each', '-', 'deleted', '(', ':', 'fox', ':', '##n', 'on', '.', '.', '(', 'buff', '.', ',', 'and', 'at', '##s', 'nj']"
alt.atheism,0,161,Anomaly,0.782660961151123,0.769780158996582,"['.', 'franchise', 'a', 'the', '##lington', '.', '.', 's', 'to', 'before', 'just', 'wake', 'crisis', 'up', 'on', 'of', 'make', 'complain', 'on', 'and', 'po', 'in', '""', 'did', 'expenses']"
alt.atheism,0,162,Anomaly,0.7780491709709167,0.7621473073959351,"['investment', 'bit', 'the', 'beams', '##mm', '##mm', 'ex', 'arm', 'is', '##uded', 'swing', 'pure', 'and', ':', 'tied', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,0,163,Anomaly,0.7889718413352966,0.7749614715576172,"['sentence', '##ma', 's', 'to', 'a', 'documentation', '.', 'first', 'remember', 'to', 'of', 'expected', 'tiled', 'one', '.', 'to', 'from', 'the', 'language', '##p', 'necessary', 'or', 'file', ',', '.']"
alt.atheism,0,164,Anomaly,0.7713495492935181,0.7649292945861816,"['turbo', '[CLS]', ',', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt.atheism,1,0,Normal,0.649907112121582,0.6560807228088379,"[""'"", ""'"", 'years', 've', 've', 'i', 'i', 'said', '##sol', '}', '.', 'times', 'to', 'to', '##ity', 'reluctance', 'you', 'me', 'for', 'that', '>', 'should', 'on', ""'"", 'that']"
