SuperCategory,Run_ID,Sample_ID,Label,Score_Original,Score_OnlyRat,Kept_Rationales
alt,0,0,Normal,3.507353176246397e-05,0.003814748488366604,"['periodically', '##vable', 'un', '>', 'several', 'point', '>', 's', 'so', 'religious', 'for', 'metaphysical', 'knowledge', 'by', ""'"", 'alternative', 'months', 'rational', '}', '}', 'mythical', 'hot', 'caught', 'not', 'to']"
alt,0,1,Normal,5.607084312941879e-05,0.0032945817802101374,"['ask', 'god', 'god', 'oath', 'they', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,2,Normal,4.9685426347423345e-05,0.0039958949200809,"['be', 'can', 'broken', 'made', '##ine', 'been', 'red', 'than', 'promises', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,3,Normal,4.5391785533865914e-05,0.0038109151646494865,"['m', 'must', 'complaining', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,4,Normal,4.388168599689379e-05,0.0033962377347052097,"['to', 'how', 'wonder', 'atheist', 'atheist', ':', 'population', 'lutheran', 'finland', 'god', 'members', 'of', 'with', '90', 'religious', 'minority', 'world', 'could', 'minority', 'is', 'even', 'of', 'since', 'seem', 'be']"
alt,0,160,Anomaly,4.437576717464253e-05,0.0034268044400960207,"[""'"", 's', '##z', 'islamic', 'clergy', 'united', 'duty', 'arabia', 'muslim', 'means', 'iraq', 'lost', 'attack', 'religion', 'it', 'religion', 'and', 'fat', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,161,Anomaly,5.0253649533260614e-05,0.004000119399279356,"['reduced', '>', 'dar', 'why', 'progress', 'is', '##2', 'obvious', '##n', 'marketplace', ')', 'caught', ')', 'by', 'ti', 'already', 'technological', '##o', 'ti', '>', 'of', 'as', '##w', 'purification', 'by']"
alt,0,162,Anomaly,9.231244621332735e-05,0.0033906404860317707,"['useful', 'o', 'price', 'display', 'ken', 'selection', 'deck', 'count', 'mode', 'ken', 'counter', 'stored', 'program', 'ken', 'ram', 'program', 'audio', 'random', 'high', 'digital', 'program', 'k', 'used', 'paid', 'access']"
alt,0,163,Anomaly,0.0001248312764801085,0.003447540570050478,"['bus', '##talk', 'cross', 'gateway', '$', 'at', 'your', 'fit', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,164,Anomaly,4.5463450078386813e-05,0.0036575503181666136,"['their', 'claim', 'claim', 'issue', 'replied', 'they', 'whether', '##dic', 'whether', 'been', 'detroit', 'claim', 'i', 'had', 'heard', 'claim', '##sley', 'nice', 'about', 'riots', 'is', '67', 'under', 'repeated', 'used']"
alt,1,0,Normal,3.3644071663729846e-05,0.003975153900682926,"['several', '.', 'periodically', ""'"", 'for', 've', 'religious', '.', 'rational', 'point', '##ity', 'mythical', ""'"", 'rational', 'are', '>', '}', '##ity', 'no', 'should', 'knowledge', 'think', '}', '##s', 'when']"
alt,1,1,Normal,7.724198076175526e-05,0.0037229428999125957,"['they', 'courtroom', '?', '[CLS]', '""', 'include', 'california', 'states', '""', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,2,Normal,4.2229479731759056e-05,0.004126775544136763,"['be', 'broken', 'than', 'can', '""', 'made', 'have', 'that', 'shown', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,3,Normal,9.472251986153424e-05,0.0038251192308962345,"['must', 'word', 'm', 'assertion', '""', ""'"", 'containing', 'languages', 'complaining', 'is', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,4,Normal,3.8209836930036545e-05,0.003971618600189686,"['to', 'wonder', 'how', 'atheist', 'religious', 'atheist', '##ath', 'minority', 'though', 'the', '%', '##s', '90', ':', 'people', 'minority', 'spec', 'be', 'then', 'seem', 'with', 'population', 'people', 've', 'finland']"
alt,1,160,Anomaly,9.653779852669686e-05,0.0038900808431208134,"[')', 'may', '2', ')', ',', 'exists', 'sequences', '?', 'too', '(', '(', 'csi', '##ter', 'but', 'd', '##ms', 'compatible', 'are', 'must', 'may', 'dc', 'work', 'would', 'and', 'work']"
alt,1,161,Anomaly,8.446989522781223e-05,0.0038492949679493904,"['##s', 'why', 's', 'have', 'expansion', '-', 'american', '.', 'to', '30', '.', 'while', 'role', 'markets', 'continue', 'crucial', '$', 'germany', 'sweden', '""', 'call', 'players', 'moment', 'italy', ""'""]"
alt,1,162,Anomaly,8.275843720184639e-05,0.0037203815300017595,"['and', 'people', 'amounts', 'like', 'and', '.', 'some', '-', '.', ';', '.', 'burn', '##iling', 'here', ')', 'burn', 'people', 'that', 'real', 'out', 'auto', 'auto', 'with', '##tics', 'clutches']"
alt,1,163,Anomaly,8.484967111144215e-05,0.0040691993199288845,"['reasonable', 'charge', 'leather', 'custom', 'dimensions', 's', '-', 'also', 'works', 'make', 'well', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,164,Anomaly,7.349688530666754e-05,0.003948495723307133,"['posted', 'range', 'million', 'heard', '##rland', 've', '26', 'bo', 'from', 'somewhere', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,0,Normal,3.628502963692881e-05,0.0029062831308692694,"['several', 'are', '}', 'caught', 'is', 'no', 'on', 'is', 'for', 'alternative', 'have', 'no', 'metaphysical', 'hot', 'reluctance', 'is', 'should', 'enough', 'mythical', 'wing', 'religious', 'knowledge', 'might', 'alternative', 'it']"
alt,2,1,Normal,6.764479621779174e-05,0.003121810732409358,"['ve', 'california', 'heard', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,2,Normal,4.473768058232963e-05,0.0033636274747550488,"['be', '""', 'made', 'can', 'broken', 'have', 'been', 'everything', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,3,Normal,5.9706704632844776e-05,0.002454106928780675,"['must', 'word', 'assertion', 'm', 'i', 'verb', 'about', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,4,Normal,3.040165756829083e-05,0.0028425129130482674,"['to', 'wonder', 'are', 'case', 'least', '""', 'finland', 'seem', '90', 'are', 'cut', 'how', 'is', 'surprising', 'be', 'large', 'majority', 'out', 'be', 'world', 'many', 'even', 'then', 'spec', ':']"
