SuperCategory,Run_ID,Sample_ID,Label,Score_Original,Score_Removed,Removed_Rationales
alt,0,0,Normal,2.3423903257935308e-05,0.00014698243467137218,"['several', '##sol', 'for', 'should', '}', '>', '.', 'periodically', 've', '##ity', 'years', ""'"", 'i', 'are', 'of', 'and', ',', 'so', 'knowledge', 'point', 'when', '.', 'to', 'mythical', 'is']"
alt,0,1,Normal,4.1647261241450906e-05,4.662780338549055e-05,"['they', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,2,Normal,2.4481045329594053e-05,9.816797683015466e-05,"['be', '""', '[CLS]', 'the', 'than', '##ine', 'made', 'can', 'broken', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,3,Normal,3.317126538604498e-05,3.530614048941061e-05,"['[CLS]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,4,Normal,4.347421781858429e-05,0.00011416635970817879,"['to', '##s', 'how', 'it', 'out', ':', 'case', '?', '""', 'many', 'in', 'of', 'finland', 'wonder', 'with', 'then', 'to', 'lutheran', 'population', 'is', 'about', 'and', 'finland', 'i', 'members']"
alt,0,160,Anomaly,0.00010622613626765087,0.00010622613626765087,"['[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,161,Anomaly,5.198614962864667e-05,8.515864465152845e-05,"['used', 'but', 'have', 'taken', 'anti', 'after', 'drop', 'bad', 'developed', 'was', 'one', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,162,Anomaly,0.00011613355309236795,0.0003705823328346014,"['-', 'offer', '##ana', 'the', '-', '[CLS]', 're', 'have', '##ble', '75', 'display', 'nt', 'following', 'highest', 'b', '##0', 'will', '##2', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,163,Anomaly,5.033914203522727e-05,0.00010369860683567822,"['##tin', 'with', 'con', '##uin', 'talk', 'popular', 'year', 'moon', '1', '1', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,164,Anomaly,3.7512072594836354e-05,9.774664067663252e-05,"['on', 'no', ',', 'no', 'system', 'ac', 'during', '##tel', 'due', 'to', 'prime', 'ro', '##k', 'barnes', 'on', '##jas', 'orioles', 'spotted', 'date', 'from', 'have', 'up', 'gardiner', 'no', 'on']"
alt,1,0,Normal,3.8509715523105115e-05,9.88529936876148e-05,"['periodically', 'several', 'for', ""'"", 've', '>', 'point', 'no', '##ity', 'when', 'religious', '""', '""', 'me', 'i', 's', ""'"", 'metaphysical', 'mythical', 'that', 'to', '""', 'to', '##ity', 'think']"
alt,1,1,Normal,3.6563949834089726e-05,7.458726759068668e-05,"['oath', '?', 'courtroom', 'god', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,2,Normal,3.2570562325417995e-05,8.05190866230987e-05,"['than', 'be', 'everything', '##mps', '""', 'made', 'been', 'promises', '##ef', 'whatever', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,3,Normal,9.44760104175657e-05,0.00023377953039016575,"['word', 'm', 'about', 'must', 'assertion', '""', 'complaining', 'verb', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,4,Normal,4.0082646592054516e-05,0.0001327356294495985,"['to', 'wonder', 'how', 'atheist', 'out', '##s', 'ap', 'of', 'seem', 'of', 'then', 'religious', 'since', 'i', 'about', 'could', '.', 'with', 'members', 'and', '##ts', 'surprising', ""'"", 'least', '##eis']"
alt,1,160,Anomaly,0.0005137751577422023,0.0005137751577422023,"['[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,161,Anomaly,6.994074647082016e-05,0.00018670088320504874,"['-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '##group', '-', '-', '-', '-', 'artillery', '[PAD]', '[PAD]']"
alt,1,162,Anomaly,6.261446833377704e-05,0.00015545205678790808,"['vet', '##tes', 'to', ""'"", ""'"", '.', 'axle', '25th', 'in', 'tops', 'similar', ""'"", '##k', 'year', '.', '25', 'catastrophic', ""'"", 'ask', 'added', '63', '##te', 'had', 's', 'those']"
alt,1,163,Anomaly,3.892583481501788e-05,0.0001223025465151295,"['star', '?', '##ma', 'that', 'b', '##rem', 'somewhere', 'right', 'until', 'maybe', '.', 'time', '?', '##em', '##r', 'm', ',', 'else', 'i', 'ku', 'distances', 'something', ',', 'point', 'besides']"
alt,1,164,Anomaly,4.090390939381905e-05,8.121463179122657e-05,"[')', '-', '-', 'it', 'do', '##over', 'second', 'hut', '(', '3', 'left', 'true', 'christmas', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,0,Normal,3.4384032915113494e-05,0.00014334020670503378,"['for', 'several', '.', 'religious', 'are', 'periodically', 'knowledge', 'alternative', 'alternative', 'and', 'on', 'of', 've', 'mythical', 'think', 'isn', 'rational', 'to', 'so', 'is', 'caught', '##ity', 's', 'it', '##s']"
alt,2,1,Normal,4.157309012953192e-05,4.816647560801357e-05,"['[CLS]', 'oath', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,2,Normal,5.943276846664958e-05,0.0001311697851633653,"['the', '##vn', 'be', 'made', '[CLS]', 't', 'can', 'system', 'ha', '""', 'moral', 'promises', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
