SuperCategory,Run_ID,Sample_ID,Label,Score_Original,Score_Removed,Removed_Rationales
alt,0,0,Normal,0.0006709740264341235,0.0006740884855389595,"['should', 'there', 'periodically', 'mythical', 'caught', 'alternative', 'now', 'there', 'several', 'reluctance', 've', 'is', 't', 'years', 'you', 'times', 'i', '##ity', 'on', 'hot', 'charley', 'explain', 'not', 'metaphysical', 'should']"
alt,0,1,Normal,0.0006807273020967841,0.0007405218202620745,"['?', 'ask', 'god', 'swear', 'oath', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,2,Normal,0.0006046126363798976,0.0005848252330906689,"['made', '##vn', 'you', 'promises', 'red', 'broken', 'everything', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,3,Normal,0.0007304187165573239,0.0008733018767088652,"['must', 'verb', 'languages', 'm', 'assertion', 'word', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,4,Normal,0.0006811615894548595,0.000716493814252317,"['to', 'finland', 'finland', 'religious', '##ath', '90', 'atheist', 've', 'people', 'least', 'atheist', 'seem', 'population', 'how', 'surprising', 'be', 'face', 'cut', 'people', 'in', 'people', 'church', 'wonder', 'possible', 'majority']"
alt,0,160,Anomaly,0.0008163000456988811,0.0008277392480522394,"['##u', 'ed', 'cv', 'ms', 'le', '##m', 'us', 'information', 'please', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,161,Anomaly,0.0005271195550449193,0.0006019328720867634,"['i', 'sv', 'windows', 'tell', 'in', '##ein', 'you', 'there', ',', 'host', 's', 'pc', 'on', 'well', 'up', 'i', 'win', 'on', 'exactly', '##y', '##i', 'find', 'men', 'other', ':']"
alt,0,162,Anomaly,0.0008627309580333531,0.0009271422168239951,"['david', 'truck', 'directional', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,0,163,Anomaly,0.0005887841107323766,0.0006842792499810457,"['because', 'but', '##jm', 'une', 'mortality', 'i', '##lty', 'problem', '##ral', 'calgary', 'refer', 'heart', 'potential', 'more', 'outcomes', 'canada', 'in', 'people', 'see', 'fa', 'seventy', '##ci', 'california', 'mri', 'california']"
alt,0,164,Anomaly,0.000809958903118968,0.0009477951098233461,"['##arte', 'chips', 'ma', 'pc', 'sold', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,0,Normal,0.001379334949888289,0.0016470386181026697,"['should', 'periodically', ""'"", '.', '.', '##ity', 've', ""'"", '.', '.', 'point', 's', ""'"", 'several', 'hot', '""', 'rational', 'think', 'religious', 'problems', '""', 'that', 'enthusiastically', '""', 'reluctance']"
alt,1,1,Normal,0.0010661770356819034,0.0014515034854412079,"['they', 'oath', 'actually', 'god', '.', '""', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,2,Normal,0.001348419114947319,0.0016826323699206114,"['""', 'can', 'be', 'broken', 'than', '.', '##ine', '""', 'made', '""', 'would', 'promises', '""', '""', 'red', '.', 'have', 'been', 'that', '""', 'moral', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,3,Normal,0.0012865192256867886,0.0015834508230909705,"['word', 'must', 'complaining', 'assertion', 'languages', '""', 'about', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,4,Normal,0.0012494714464992285,0.0013719917042180896,"['to', 'wonder', 'atheist', '.', '.', '.', 'minority', 'people', 'case', 'atheist', 'finland', ',', 'many', 'religious', 'minority', '##s', 'actually', 'lutheran', 'to', 'christianity', 'people', 'people', 'believe', 'thinking', 've']"
alt,1,160,Anomaly,0.0013511308934539557,0.0016503336373716593,"['game', '.', '.', 'true', '.', 'say', 'saw', 'leafs', 'news', '.', '.', 'leafs', '.', ""'"", 'guns', 'could', 'my', 'team', 'husband', 'please', 'woo', 'channel', 'something', 'tuned', 'red']"
alt,1,161,Anomaly,0.0014339388580992818,0.00197886535897851,"['questions', 'condition', 'asked', 'same', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,1,162,Anomaly,0.0013544784160330892,0.001503645209595561,"['ignored', '.', 'expansion', 'much', 'move', 'if', 'chris', ',', 'any', '""', '!', '##isto', '""', 'electrons', 'dense', 'much', 'less', 'are', '.', 'and', 'is', '-', 'static', '##s', 'that']"
alt,1,163,Anomaly,0.001448816736228764,0.001483186730183661,"['.', '##u', '.', 'try', '.', '@', 'packet', '_', '_', '##w', '##o', '##net', 'packet', '.', '_', 'k', 'state', 'k', '##fk', '@', '_', 'gs', 'university', 'michael', '239']"
alt,1,164,Anomaly,0.0013281856663525105,0.0016602405812591314,"['.', '.', '.', 'not', 'bits', 'tuck', 'fall', 'trousers', ""'"", 'first', 'you', 'hands', 'just', 've', 'knees', 'bits', 'one', 'down', 'you', 'easily', 'get', 'gloves', 'longer', 'pull', 'good']"
alt,2,0,Normal,0.0007672022329643369,0.001004874473437667,"['should', '[CLS]', 'several', 'are', ""'"", '}', '>', 'when', 'point', 'mythical', 'periodically', 'for', 'knowledge', '##ity', 'of', 'that', 'i', 'to', 'should', 'to', ""'"", '##ity', 'prop', 'no', 'on']"
alt,2,1,Normal,0.0010615370701998472,0.001048876903951168,"['without', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,2,Normal,0.0006512945983558893,0.0005977239925414324,"['##vn', 'be', 'can', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,3,Normal,0.0009568383684381843,0.0008608344942331314,"['languages', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,4,Normal,0.0008786092512309551,0.0009569870308041573,"['to', 'how', '##s', 'case', ':', '""', 'wonder', 'finland', '?', 'of', '##s', '[CLS]', 'out', 'least', 'every', 'are', '##ulate', 'members', 'atheist', 'be', 'people', ':', 'thinking', 'minority', 'could']"
alt,2,160,Anomaly,0.0010071470169350505,0.00089215487241745,"['not', '-', 'mention', 'that', 'bi', '##n', 'not', 'manager', 'dar', 'fia', 'no', 'is', 'torre', 'rat', 'm', 'into', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,161,Anomaly,0.0009831925854086876,0.0009375493973493576,"['thanks', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,162,Anomaly,0.0009292851318605244,0.0009560942417010665,"['[CLS]', 'pm', '@', 'never', '.', 'tc', '##ians', 'copper', 'spaces', '##s', '##d', 'tanks', 'such', '.', '##olo', '##ney', 'through', '.', '-', 'ago', '.', 'to', 'up', '##er', '##ane']"
alt,2,163,Anomaly,0.001022810465656221,0.0009785369038581848,"['^', '[CLS]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]', '[PAD]']"
alt,2,164,Anomaly,0.0008974524098448455,0.0009117689332924783,"['[CLS]', 'are', 'why', '-', 'really', '##s', 'to', '-', 'you', '-', 'getting', '-', 'so', 'state', '-', 'can', 'to', 'their', 'about', '##s', 'guy', '-', 'than', 'kicks', '-']"
alt,3,0,Normal,0.000654189963825047,0.000573841854929924,"['[CLS]', '}', 'several', 'metaphysical', 'wing', 'mythical', '##vable', 'un', '}', '##sol', 'knowledge', 'religious', 'charley', 'periodically', 'pops', 'problems', '}', '}', 'alternative', 'enthusiastically', '}', 'for', 'explain', 've', 'reluctance']"
